,VL_LMTCARTAOCREDITO,VL_LMTCHESPECIAL
0,2121.508846268686,6267.63944841656
1,2504.1770170835453,2160.9299384093847
2,2837.4178168930684,4988.817358933648
3,2553.5674143841234,6201.736090589403
4,2919.957316575434,5099.407991961182
5,2437.96796441521,2503.849817212765
6,2893.186349891802,10018.479394317375
7,2553.721586340815,6251.965181842616
8,2306.41577587609,1032.465560128132
9,2703.2454543790786,6269.026256184475
10,2632.781028615105,6197.711876254799
11,2731.606909763664,5060.36957557988
12,1986.5317862964343,4995.46221975642
13,2428.254303479086,2404.5516065908887
14,2914.999464934298,6213.372833765547
15,2714.3095112718424,6268.662253179547
16,2546.999982445155,6111.629640280375
17,3589.0667323403004,10064.242679118634
18,3005.097577962903,5094.601242741628
19,3300.4293108476163,9962.984634055527
20,3786.8497540334574,19945.18183486841
21,2235.279382883734,5876.585675005467
22,2567.591765305181,6251.095585332238
23,2277.6154034528513,978.9406241375364
24,2299.7126702386618,977.7442620511329
25,1800.6689548944282,926.8458080257087
26,2227.7929333852508,981.6567069811717
27,2890.7054703016643,9954.059471152152
28,2313.7723107845936,872.2533620574377
29,2098.7891733305596,1031.0434501702157
30,2281.851458579561,378.93408230352634
31,2585.8341696558623,6253.510106040103
32,2239.568220849942,876.5339330773058
33,2589.167755334911,6250.037734144313
34,4830.319389428958,20422.621351882262
35,2584.9494301547693,6242.19458553925
36,3249.247790489263,15554.983397880147
37,2302.2421823836335,979.1712535554561
38,2247.5991860095205,888.6092828026103
39,2093.762033837218,913.5240847611522
40,1668.2901095988764,1554.36132650953
41,2337.035528973607,873.9868813239173
42,2648.0676147278227,6095.500398091918
43,2295.7664846482967,319.42563201480334
44,2557.5030441604495,6251.765806563069
45,2537.016573634486,2783.511085017105
46,2347.0313719554724,1112.1339066673927
47,1466.2211804391502,119.85153739486486
48,2327.5377434459333,976.0614403254121
49,2148.4175313600854,130.91480543737634
50,1681.6146879725886,908.1938117501186
51,2588.6269135098937,6241.961562557364
52,2304.130065232659,1873.1417163005462
53,2240.3453699508714,981.6165366700407
54,2278.203108858685,874.7174928271743
55,2266.1918582715125,175.13657306254845
56,2554.005083693536,1604.2678684986104
57,3289.846878431149,3864.9454267930237
58,1767.6712070562012,1048.1864228315608
59,2595.7762023418754,6241.430157856379
60,4313.982583931356,29909.549464313874
61,2632.0589494636465,6239.567944641747
62,2364.2770763133008,119.30571365524338
63,2707.843115871744,7024.287221892521
64,2606.662211215041,6409.198899238318
65,3950.680176065207,6203.041699127496
66,2612.504807483416,6094.5289087339015
67,2773.6221249889627,5016.726964111624
68,2702.901337020216,4850.506458469796
69,5838.085502533836,3669.1233128987874
70,2600.0955222366574,6249.413960376653
71,2426.8503297859056,865.2418675041445
72,2586.7870380607865,6250.159712997719
73,2562.8659198062064,5004.970802001363
74,2667.875168637984,3598.195298123935
75,2515.047263626483,6246.1807870195735
76,2683.428279136248,7997.965498027108
77,2512.157905611713,4384.439672996922
78,5440.961455796374,11788.51418671311
79,1941.5490975892862,1006.1830758570641
80,2723.7925777877504,4963.411827885114
81,2344.7929822840874,516.1459291700594
82,23763.813471265184,99452.52052166863
83,6105.203175443423,19864.87482888423
84,4715.464315488627,12133.790205759906
85,2674.4030684676345,6236.582951239555
